Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Carbon pricing ; $ per Tn CO2(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Carbon pricing ; $ per Tn CO2(combined(no bus)),Abs. difference,0.00,0.00,294.37,521.56,837.65,"1,302.74",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Carbon pricing ; $ per Tn CO2(combined(no bus)),Abs. difference,0.00,0.00,114.82,264.44,449.21,678.20,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,39.39,133.35,265.48,456.06,736.82,"1,150.26",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,0.00,0.00,294.37,521.56,837.65,"1,302.74",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,0.00,0.00,114.82,264.44,449.21,678.20,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,283.14,650.89,748.71,834.38,932.69,"1,043.18",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,471.69,"1,102.22","1,956.22","3,180.60","4,974.82","6,721.30",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Current PoliciesNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Current Policies,Brazil,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,39.39,133.35,265.48,456.06,736.82,"1,150.26",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,0.00,0.00,294.37,521.56,837.65,"1,302.74",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,0.00,0.00,114.82,264.44,449.21,678.20,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,283.14,650.89,748.71,834.38,932.69,"1,043.18",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,471.69,"1,102.22","1,956.22","3,180.60","4,974.82","6,721.30",,,,,,,,,,
